prefecture,name,url
熊本県,熊本,https://beauty.hotpepper.jp/svcSG/macGE/salon/
埼玉県,練馬・ひばりヶ丘・所沢・飯能・狭山,https://beauty.hotpepper.jp/svcSA/macAS/salon/
広島県,広島,https://beauty.hotpepper.jp/svcSF/macFA/salon/
東京都,明大前・千歳烏山・調布・府中,https://beauty.hotpepper.jp/svcSA/macAW/salon/
大阪府,心斎橋・難波・天王寺,https://beauty.hotpepper.jp/svcSB/macBB/salon/
鹿児島県,鹿児島,https://beauty.hotpepper.jp/svcSG/macGG/salon/
大分県,大分,https://beauty.hotpepper.jp/svcSG/macGD/salon/
大阪府,茨木・高槻,https://beauty.hotpepper.jp/svcSB/macBD/salon/
広島県,福山・尾道,https://beauty.hotpepper.jp/svcSF/macFB/salon/
新潟県,新潟,https://beauty.hotpepper.jp/svcSH/macHA/salon/
埼玉県,東大宮・古河・小山,https://beauty.hotpepper.jp/svcSA/macJS/salon/
北海道,函館,https://beauty.hotpepper.jp/svcSD/macDD/salon/
大阪府,堺・なかもず・深井・狭山・河内長野・鳳,https://beauty.hotpepper.jp/svcSB/macBE/salon/
大阪府,昭和町・大正・住吉・住之江,https://beauty.hotpepper.jp/svcSB/macBT/salon/
山梨県,山梨,https://beauty.hotpepper.jp/svcSA/macJO/salon/
京都府,長岡京・伏見・山科・京田辺・宇治・木津,https://beauty.hotpepper.jp/svcSB/macBS/salon/
愛知県,一宮・犬山・江南・小牧・小田井・津島,https://beauty.hotpepper.jp/svcSC/macCE/salon/
千葉県,市原・木更津・茂原・勝浦・東金・銚子,https://beauty.hotpepper.jp/svcSA/macJG/salon/
愛媛県,松山・愛媛,https://beauty.hotpepper.jp/svcSI/macIC/salon/
和歌山県,和歌山,https://beauty.hotpepper.jp/svcSB/macBR/salon/
愛知県,星ヶ丘・藤が丘・長久手,https://beauty.hotpepper.jp/svcSC/macCM/salon/
青森県,青森・八戸・弘前,https://beauty.hotpepper.jp/svcSE/macEF/salon/
長野県,その他長野県,https://beauty.hotpepper.jp/svcSH/macHI/salon/
長崎県,長崎,https://beauty.hotpepper.jp/svcSG/macGC/salon/
徳島県,徳島,https://beauty.hotpepper.jp/svcSI/macIB/salon/
北海道,道東・道北,https://beauty.hotpepper.jp/svcSD/macDC/salon/
